Company,Type_Name,Operating_System,Weight,Memory_Size_GB,Memory_Type,CPU_Name,GPU_Brand,is_Touchscreen,has_IPS,Screen_Types,PPI
Apple,Ultrabook,Mac OS,1.37,128,SSD,Intel Core i5,Intel,0,1,Retina,226.98
Apple,Ultrabook,Mac OS,1.34,128,Flash Storage,Intel Core i5,Intel,0,0,Other,127.68
HP,Notebook,No OS,1.86,256,SSD,Intel Core i5,Intel,0,0,Full HD,141.21
Apple,Ultrabook,Mac OS,1.83,512,SSD,Intel Core i7,AMD,0,1,Retina,220.53
Apple,Ultrabook,Mac OS,1.37,256,SSD,Intel Core i5,Intel,0,1,Retina,226.98
Acer,Notebook,Windows,2.1,500,HDD,AMD Processor,AMD,0,0,Other,100.45
Apple,Ultrabook,Mac OS,2.04,256,Flash Storage,Intel Core i7,Intel,0,1,Retina,220.53
Apple,Ultrabook,Mac OS,1.34,256,Flash Storage,Intel Core i5,Intel,0,0,Other,127.68
Asus,Ultrabook,Windows,1.3,512,SSD,Intel Core i7,Nvidia,0,0,Full HD,157.35
Acer,Ultrabook,Windows,1.6,256,SSD,Intel Core i5,Intel,0,1,Full HD,157.35
HP,Notebook,No OS,1.86,500,HDD,Intel Core i5,Intel,0,0,Other,100.45
HP,Notebook,No OS,1.86,500,HDD,Intel Core i3,Intel,0,0,Full HD,141.21
Apple,Ultrabook,Mac OS,1.83,256,SSD,Intel Core i7,AMD,0,1,Retina,220.53
Dell,Notebook,Windows,2.2,256,SSD,Intel Core i3,AMD,0,0,Full HD,141.21
Apple,Ultrabook,Mac OS,0.92,256,SSD,Other Intel Processor,Intel,0,1,Retina,226.42
Apple,Ultrabook,Mac OS,1.37,256,SSD,Intel Core i5,Intel,0,1,Retina,226.98
Dell,Notebook,Windows,2.2,256,SSD,Intel Core i7,AMD,0,0,Full HD,141.21
Apple,Ultrabook,Mac OS,1.83,512,SSD,Intel Core i7,AMD,0,1,Retina,220.53
Lenovo,Notebook,No OS,2.2,1000,HDD,Intel Core i3,Nvidia,0,0,Full HD,141.21
Dell,Ultrabook,Windows,1.22,128,SSD,Intel Core i5,Intel,1,1,Full HD,165.63
Asus,Netbook,Windows,0.98,32,Flash Storage,Other Intel Processor,Intel,0,0,Other,135.09
Lenovo,Gaming,Windows,2.5,1128,Hybrid,Intel Core i5,Nvidia,0,1,Full HD,141.21
HP,Notebook,No OS,1.86,500,HDD,AMD Processor,AMD,0,0,Other,100.45
Dell,2 in 1 Convertible,Windows,1.62,256,SSD,Intel Core i5,Intel,1,0,Full HD,165.63
HP,Ultrabook,Windows,1.91,256,SSD,Intel Core i7,Intel,0,0,Full HD,141.21
Dell,Notebook,Windows,2.3,1000,HDD,Intel Core i3,Intel,0,0,Other,100.45
Apple,Ultrabook,Mac OS,1.35,128,Flash Storage,Intel Core i5,Intel,0,0,Other,127.68
Dell,Notebook,Windows,2.2,256,SSD,Intel Core i5,AMD,0,0,Full HD,141.21
Dell,Ultrabook,Windows,1.88,512,Hybrid,Intel Core i7,Intel,0,0,Full HD,141.21
HP,Notebook,Windows,2.5,1000,HDD,Intel Core i5,Nvidia,0,0,Full HD,127.34
Chuwi,Notebook,Windows,1.89,64,Flash Storage,Other Intel Processor,Intel,0,0,Full HD,141.21
Asus,Notebook,Windows,1.65,32,Flash Storage,AMD Processor,AMD,0,0,Other,111.94
HP,Notebook,Windows,2.71,500,HDD,AMD Processor,AMD,0,0,Full HD,127.34
Dell,Ultrabook,Windows,1.2,512,SSD,Intel Core i7,Intel,1,0,Quad HD,276.05
Apple,Ultrabook,Mac OS,1.35,256,Flash Storage,Intel Core i5,Intel,0,0,Other,127.68
Lenovo,Notebook,Windows,1.44,64,Flash Storage,Other Intel Processor,Intel,0,0,Other,111.94
Acer,Notebook,Linux,2.1,1000,HDD,Intel Core i3,Intel,0,0,Other,100.45
Dell,Notebook,Windows,2.8,1128,Hybrid,Intel Core i5,AMD,0,1,Full HD,127.34
HP,Notebook,Windows,1.86,1000,HDD,Intel Core i5,Intel,0,0,Other,100.45
HP,Notebook,Windows,2.1,256,SSD,Intel Core i5,Nvidia,0,0,Full HD,141.21
Asus,Notebook,Linux,2.0,1000,HDD,Intel Core i3,Intel,0,0,Full HD,141.21
Dell,Gaming,Windows,2.65,1256,Hybrid,Intel Core i7,Nvidia,0,1,Full HD,141.21
Asus,Notebook,Linux,2.3,1000,HDD,Intel Core i5,Nvidia,0,0,Other,100.45
Acer,Notebook,Windows,2.2,256,SSD,Intel Core i5,Intel,0,1,Full HD,141.21
Dell,2 in 1 Convertible,Windows,2.77,1000,HDD,Intel Core i5,Nvidia,1,0,Full HD,127.34
Apple,Ultrabook,Mac OS,1.37,256,SSD,Intel Core i5,Intel,0,1,Retina,226.98
Lenovo,Notebook,No OS,2.2,128,SSD,Intel Core i3,Intel,0,0,Other,100.45
Asus,Gaming,Windows,3.2,1256,Hybrid,AMD Processor,AMD,0,0,Full HD,127.34
Dell,Notebook,Windows,2.3,256,SSD,Intel Core i5,AMD,0,0,Full HD,141.21
Asus,Notebook,Windows,2.8,1000,HDD,Other Intel Processor,Nvidia,0,0,Other,90.58
